FirstStage, RootNode, bat, t0, 0.0
FirstStage, RootNode, bat, t1, 0.0
FirstStage, RootNode, bat, t10, 385.20000000000107
FirstStage, RootNode, bat, t100, 0.0
FirstStage, RootNode, bat, t1000, 8.0
FirstStage, RootNode, bat, t1001, 8.0
FirstStage, RootNode, bat, t1002, 8.0
FirstStage, RootNode, bat, t1003, 8.0
FirstStage, RootNode, bat, t1004, 8.0
FirstStage, RootNode, bat, t1005, 8.0
FirstStage, RootNode, bat, t1006, 8.0
FirstStage, RootNode, bat, t1007, 8.0
FirstStage, RootNode, bat, t1008, 8.0
FirstStage, RootNode, bat, t1009, 8.0
FirstStage, RootNode, bat, t101, 0.0
FirstStage, RootNode, bat, t1010, 8.0
FirstStage, RootNode, bat, t1011, 8.0
FirstStage, RootNode, bat, t1012, 8.0
FirstStage, RootNode, bat, t1013, 8.0
FirstStage, RootNode, bat, t1014, 8.0
FirstStage, RootNode, bat, t1015, 8.0
FirstStage, RootNode, bat, t1016, 8.0
FirstStage, RootNode, bat, t1017, 8.0
FirstStage, RootNode, bat, t1018, 8.0
FirstStage, RootNode, bat, t1019, 8.0
FirstStage, RootNode, bat, t102, 0.0
FirstStage, RootNode, bat, t1020, 38.0
FirstStage, RootNode, bat, t1021, 95.0
FirstStage, RootNode, bat, t1022, 153.0
FirstStage, RootNode, bat, t1023, 212.0
FirstStage, RootNode, bat, t1024, 271.0
FirstStage, RootNode, bat, t1025, 333.0
FirstStage, RootNode, bat, t1026, 397.0
FirstStage, RootNode, bat, t1027, 462.0
FirstStage, RootNode, bat, t1028, 533.0
FirstStage, RootNode, bat, t1029, 612.0
FirstStage, RootNode, bat, t103, 0.0
FirstStage, RootNode, bat, t1030, 694.0
FirstStage, RootNode, bat, t1031, 763.0
FirstStage, RootNode, bat, t1032, 831.9999999999999
FirstStage, RootNode, bat, t1033, 891.0
FirstStage, RootNode, bat, t1034, 948.0
FirstStage, RootNode, bat, t1035, 1003.9999999999999
FirstStage, RootNode, bat, t1036, 1060.0
FirstStage, RootNode, bat, t1037, 1114.0
FirstStage, RootNode, bat, t1038, 1157.0
FirstStage, RootNode, bat, t1039, 1159.0
FirstStage, RootNode, bat, t104, 0.0
FirstStage, RootNode, bat, t1040, 1159.0
FirstStage, RootNode, bat, t1041, 1159.0
FirstStage, RootNode, bat, t1042, 1159.0
FirstStage, RootNode, bat, t1043, 1159.0
FirstStage, RootNode, bat, t1044, 1159.0
FirstStage, RootNode, bat, t1045, 1159.0
FirstStage, RootNode, bat, t1046, 1159.0
FirstStage, RootNode, bat, t1047, 1159.0
FirstStage, RootNode, bat, t1048, 1159.0
FirstStage, RootNode, bat, t1049, 1278.0
FirstStage, RootNode, bat, t105, 333.333333333333
FirstStage, RootNode, bat, t1050, 1410.0
FirstStage, RootNode, bat, t1051, 1549.0
FirstStage, RootNode, bat, t1052, 1695.0
FirstStage, RootNode, bat, t1053, 1849.0
FirstStage, RootNode, bat, t1054, 2013.0
FirstStage, RootNode, bat, t1055, 2189.0
FirstStage, RootNode, bat, t1056, 2380.0
FirstStage, RootNode, bat, t1057, 2588.0
FirstStage, RootNode, bat, t1058, 2815.0
FirstStage, RootNode, bat, t1059, 3065.0
FirstStage, RootNode, bat, t106, 666.666666666667
FirstStage, RootNode, bat, t1060, 3333.0
FirstStage, RootNode, bat, t1061, 3610.0
FirstStage, RootNode, bat, t1062, 3879.0
FirstStage, RootNode, bat, t1063, 4132.0
FirstStage, RootNode, bat, t1064, 4371.0
FirstStage, RootNode, bat, t1065, 4037.6666666666697
FirstStage, RootNode, bat, t1066, 3704.3333333333294
FirstStage, RootNode, bat, t1067, 3371.0
FirstStage, RootNode, bat, t1068, 3037.6666666666706
FirstStage, RootNode, bat, t1069, 2742.66666666667
FirstStage, RootNode, bat, t107, 1000.0000000000001
FirstStage, RootNode, bat, t1070, 2423.6666666666706
FirstStage, RootNode, bat, t1071, 2111.66666666667
FirstStage, RootNode, bat, t1072, 1798.66666666667
FirstStage, RootNode, bat, t1073, 1465.33333333333
FirstStage, RootNode, bat, t1074, 1337.6666666666697
FirstStage, RootNode, bat, t1075, 1278.66666666667
FirstStage, RootNode, bat, t1076, 945.3333333333331
FirstStage, RootNode, bat, t1077, 646.333333333333
FirstStage, RootNode, bat, t1078, 313.0
FirstStage, RootNode, bat, t1079, 0.0
FirstStage, RootNode, bat, t108, 1333.33333333333
FirstStage, RootNode, bat, t1080, 333.333333333333
FirstStage, RootNode, bat, t1081, 666.666666666667
FirstStage, RootNode, bat, t1082, 1000.0000000000001
FirstStage, RootNode, bat, t1083, 1333.33333333333
FirstStage, RootNode, bat, t1084, 1666.66666666667
FirstStage, RootNode, bat, t1085, 2000.0000000000002
FirstStage, RootNode, bat, t1086, 2333.33333333333
FirstStage, RootNode, bat, t1087, 2666.6666666666706
FirstStage, RootNode, bat, t1088, 3000.0
FirstStage, RootNode, bat, t1089, 3333.33333333333
FirstStage, RootNode, bat, t109, 1666.66666666667
FirstStage, RootNode, bat, t1090, 3666.6666666666697
FirstStage, RootNode, bat, t1091, 4000.0000000000005
FirstStage, RootNode, bat, t1092, 4333.33333333333
FirstStage, RootNode, bat, t1093, 4666.66666666667
FirstStage, RootNode, bat, t1094, 5000.0
FirstStage, RootNode, bat, t1095, 5333.33333333333
FirstStage, RootNode, bat, t1096, 5666.66666666667
FirstStage, RootNode, bat, t1097, 6000.0
FirstStage, RootNode, bat, t1098, 6333.333333333331
FirstStage, RootNode, bat, t1099, 6666.66666666667
FirstStage, RootNode, bat, t11, 718.533333333334
FirstStage, RootNode, bat, t110, 2000.0000000000002
FirstStage, RootNode, bat, t1100, 7000.0
FirstStage, RootNode, bat, t1101, 7333.33333333333
FirstStage, RootNode, bat, t1102, 7666.66666666666
FirstStage, RootNode, bat, t1103, 8000.000000000001
FirstStage, RootNode, bat, t1104, 8333.33333333333
FirstStage, RootNode, bat, t1105, 8666.66666666666
FirstStage, RootNode, bat, t1106, 9000.0
FirstStage, RootNode, bat, t1107, 9333.33333333333
FirstStage, RootNode, bat, t1108, 9666.66666666667
FirstStage, RootNode, bat, t1109, 10000.0
FirstStage, RootNode, bat, t111, 2333.33333333333
FirstStage, RootNode, bat, t1110, 10333.3333333333
FirstStage, RootNode, bat, t1111, 10666.6666666667
FirstStage, RootNode, bat, t1112, 11000.0
FirstStage, RootNode, bat, t1113, 11333.3333333333
FirstStage, RootNode, bat, t1114, 11666.6666666667
FirstStage, RootNode, bat, t1115, 12000.0
FirstStage, RootNode, bat, t1116, 12333.3333333333
FirstStage, RootNode, bat, t1117, 12666.6666666667
FirstStage, RootNode, bat, t1118, 13000.0
FirstStage, RootNode, bat, t1119, 13333.3333333333
FirstStage, RootNode, bat, t112, 2666.6666666666706
FirstStage, RootNode, bat, t1120, 13666.666666666699
FirstStage, RootNode, bat, t1121, 14000.0
FirstStage, RootNode, bat, t1122, 14333.3333333333
FirstStage, RootNode, bat, t1123, 14666.6666666667
FirstStage, RootNode, bat, t1124, 15000.0
FirstStage, RootNode, bat, t1125, 15333.333333333298
FirstStage, RootNode, bat, t1126, 15666.6666666667
FirstStage, RootNode, bat, t1127, 16000.000000000002
FirstStage, RootNode, bat, t1128, 16333.3333333333
FirstStage, RootNode, bat, t1129, 16666.6666666667
FirstStage, RootNode, bat, t113, 3000.0
FirstStage, RootNode, bat, t1130, 17000.0
FirstStage, RootNode, bat, t1131, 17333.3333333333
FirstStage, RootNode, bat, t1132, 17666.6666666667
FirstStage, RootNode, bat, t1133, 18000.0
FirstStage, RootNode, bat, t1134, 18333.3333333333
FirstStage, RootNode, bat, t1135, 18666.6666666667
FirstStage, RootNode, bat, t1136, 19000.0
FirstStage, RootNode, bat, t1137, 19333.3333333333
FirstStage, RootNode, bat, t1138, 19666.6666666667
FirstStage, RootNode, bat, t1139, 20000.0
FirstStage, RootNode, bat, t114, 3333.33333333333
FirstStage, RootNode, bat, t1140, 19666.6666666667
FirstStage, RootNode, bat, t1141, 19333.3333333333
FirstStage, RootNode, bat, t1142, 19000.0
FirstStage, RootNode, bat, t1143, 18666.6666666667
FirstStage, RootNode, bat, t1144, 18333.3333333333
FirstStage, RootNode, bat, t1145, 18000.0
FirstStage, RootNode, bat, t1146, 17666.6666666667
FirstStage, RootNode, bat, t1147, 17333.3333333333
FirstStage, RootNode, bat, t1148, 17000.0
FirstStage, RootNode, bat, t1149, 16666.6666666667
FirstStage, RootNode, bat, t115, 3666.6666666666697
FirstStage, RootNode, bat, t1150, 16333.3333333333
FirstStage, RootNode, bat, t1151, 16000.000000000002
FirstStage, RootNode, bat, t1152, 15666.6666666667
FirstStage, RootNode, bat, t1153, 15333.333333333298
FirstStage, RootNode, bat, t1154, 15000.0
FirstStage, RootNode, bat, t1155, 14666.6666666667
FirstStage, RootNode, bat, t1156, 14333.3333333333
FirstStage, RootNode, bat, t1157, 14000.0
FirstStage, RootNode, bat, t1158, 13701.999999999998
FirstStage, RootNode, bat, t1159, 13401.0
FirstStage, RootNode, bat, t116, 4000.0000000000005
FirstStage, RootNode, bat, t1160, 13099.0
FirstStage, RootNode, bat, t1161, 12809.0
FirstStage, RootNode, bat, t1162, 12475.6666666667
